id,destination_city_name,destination_city_id,source_city_name,source_city_id,parcel_type,route_direction
128,Majharpara,1844,Makudikheda,1291,0,0
129,Bathanaluru,3400,Baparati,3340,0,2
130,Chikotasari,4077,Maporegarh,1615,1,1
131,Baparagarh,3320,Chiwadigarh,4188,0,2
132,Baparamuri,3327,Ratolaabad,810,0,1
133,Makudibari,1285,Kakotatola,2166,1,1
134,Chimuribari,4137,Kakhedamuri,2521,0,1
135,Chiwadinagar,4187,Batolapara,3704,0,1
136,Bawadipara,3239,Ragiripalli,546,1,0
137,Ragudawadi,787,Rasaritola,492,1,1
138,Chihatpalli,4700,Rativali,691,0,2
139,Kasarigaon,2400,Kagudatola,2724,0,0
140,Madihvali,1869,Babastiwadi,3825,0,0
141,Vipurbasti,4836,Chimuriwadi,4135,1,0
142,Kagudati,2720,Maporetola,1639,1,1
143,Rakotapura,222,Chigarhkudi,3917,0,2
144,Vipurbari,4819,Rakhedabasti,620,1,0
145,Ragaondih,402,Chidihbasti,4774,1,1
146,Chiporesari,4511,Rabaripura,408,0,0
147,Chikotasari,4077,Chikotamuri,4071,0,0
148,Mahalligiri,1134,Chiluruvali,4473,0,2
149,Chikudigiri,4172,Mawadithana,1319,1,0
150,Magadhpura,1679,Rabarigiri,421,1,2
151,Rapurnagar,2,Magudavali,1745,1,1
152,Bavalijhar,3160,Kasarithana,2404,1,1
153,Kalurupalli,2561,Chipallidih,4432,1,0
154,Chidihpet,4750,Bapallibari,3455,1,1
155,Chigiripura,4376,Bagiripura,3415,0,1
156,Bamuripore,3184,Makudimuri,1281,0,1
157,Mapuranagar,1087,Bakudigarh,3196,0,1
158,Kanagargarh,1956,Matolatola,1794,1,0
159,Kaparaluru,2377,Magirigadh,1512,1,0
160,Raluruhalli,626,Bagudahat,3686,0,0
161,Chiabadjhar,3966,Kamalaluru,2687,0,2
162,Mabastigarh,1894,Chijharpara,4727,1,1
163,Badihwadi,3794,Bapetnagar,3071,0,1
164,Chigadhpura,4562,Kanagarpore,1975,1,2
165,Mamalagarh,1708,Mamurimala,1265,1,2
166,Chihatpara,4696,Makudijhar,1300,1,0
167,Kawaditola,2290,Chisaripur,4310,1,2
168,Kaporemuri,2583,Makhedahalli,1556,1,1
169,Bagarhluru,2966,Ragadhkudi,724,0,1
170,Kadihhalli,2827,Baporeabad,3538,0,1
171,Bapurmuri,2893,Ragaonhalli,378,1,0
172,Rahallikota,163,Managarvali,1001,1,0
173,Baporeguda,3560,Chigiriwadi,4383,0,1
174,Chitiguda,4552,Bapetkudi,3080,0,1
175,Rakotaabad,221,Chijhardih,4742,1,0
176,Ralurupara,635,Ravaligarh,251,0,1
177,Rapetvali,195,Rapurvali,9,0,1
178,Magiripura,1493,Ragaondih,402,0,1
179,Ranagardih,61,Vihalliguda,4986,1,2
180,Chipurhat,3872,Bajharkudi,3762,0,0
181,Radihwadi,911,Mabastithana,1908,1,0
182,Magudakudi,1747,Bapurapur,3008,1,0
183,Mahalligiri,1134,Mamalathana,1722,1,1
184,Chipalligaon,4415,Rahatbari,851,0,2
185,Magarhmala,1048,Chitolagaon,4663,0,2
186,Chiwadisari,4201,Matolapura,1772,0,2
187,Managarpore,1014,Rapallipore,580,1,0
188,Chiparagarh,4281,Rakotagiri,235,0,0
189,Magudagarh,1739,Chikotagarh,4064,1,1
190,Rahatpara,852,Bagirigaon,3423,0,1
191,Mamalagadh,1729,Kathanakudi,2429,1,1
192,Chiporebari,4509,Ragirimuri,537,0,0
193,Kasarikota,2395,Batimuri,3575,1,2
194,Katisari,2620,Rabastinagar,932,1,2
195,Rakotapalli,236,Mawadivali,1311,1,2
196,Vipurakheda,4949,Mavalikheda,1229,0,0
197,Rakhedagiri,607,Ratolavali,815,1,2
198,Mawadibasti,1333,Chipalliwadi,4414,1,0
199,Rabastikudi,941,Chiwadihat,4213,0,2
200,Bagaonbari,3269,Chilurupet,4471,1,2
201,Chikudithana,4171,Bahallipur,3039,0,1
202,Chibastikudi,4785,Chitigiri,4544,1,2
203,Magaonjhar,1362,Kagarhpur,1985,1,2
204,Kamalagaon,2679,Mavalithana,1226,0,0
205,Chipetluru,4051,Rapetthana,203,0,1
206,Katijhar,2633,Bapallimala,3466,0,2
207,Chibastimuri,4784,Chipallinagar,4404,1,1
208,Bathanapet,3386,Chidihluru,4764,1,2
209,Baabadgiri,2994,Chiwaditola,4212,0,2
210,Chipuravali,3977,Magirikota,1496,0,2
211,Magirithana,1505,Raparagaon,447,1,2
212,Raabadkheda,113,Chihathat,4709,0,0
213,Viabadpur,4899,Kapurakudi,2057,0,0
214,Chiporepur,4496,Majharkudi,1840,0,1
215,Chikotakudi,4072,Bakudibari,3207,1,2
216,Batidih,3595,Makhedakota,1558,0,0
217,Kapuraabad,2050,Mamalakota,1713,0,1
218,Kavalikheda,2190,Bamurivali,3171,0,0
219,Maporemala,1637,Kapallibasti,2511,0,2
220,Makhedapura,1555,Kaporethana,2590,1,2
221,Kanagarthana,1970,Magirigaon,1501,0,0
222,Bathanamala,3404,Chimurinagar,4125,1,0
223,Kagudahat,2725,Rapurpalli,19,1,1
224,Matikheda,1663,Rabastidih,960,0,1
225,Chiwadikheda,4205,Bagarhgiri,2963,0,0
226,Kagudapur,2698,Baporekudi,3545,1,1
227,Ragiripura,532,Viabadgadh,4922,1,1
228,Managarbasti,1023,Chivalimala,4117,0,1
229,Mabastijhar,1920,Ragadhpore,735,1,1
230,Chimalasari,4604,Mahatkota,1806,1,0
231,Chikotakudi,4072,Ravaligaon,261,1,0
232,Ramurigarh,282,Chijharkota,4720,1,2
233,Kavalipur,2171,Bahallikudi,3049,1,1
234,Vigarhhalli,4873,Batolamala,3714,1,1
235,Babaribari,3300,Rapallipalli,577,1,1
236,Vinagarmuri,4846,Mathanakheda,1477,1,2
237,Kavalisari,2186,Kapuraluru,2067,0,2
238,Bativali,3574,Chikotabasti,4092,0,1
239,Chiparagadh,4302,Kapurhat,1950,0,0
240,Bagaonsari,3271,Chimalapura,4593,1,1
241,Mabarimuri,1374,Mamalavali,1714,1,0
242,Chigarhpura,3911,Mapurkota,969,1,2
243,Rajhartola,895,Kagarhpur,1985,0,0
244,Ragudapur,776,Maparamuri,1405,1,1
245,Ragaonti,395,Rapetmuri,196,1,2
246,Chihallivali,4008,Rajharpara,883,1,2
247,Chisarinagar,4311,Mabastithana,1908,1,2
248,Kadihsari,2837,Rapetpalli,205,0,1
249,Chipurakota,3976,Managarabad,996,0,2
250,Bathanakheda,3399,Mabaridih,1394,1,0
251,Mavalinagar,1211,Kakotavali,2148,0,2
252,Matipet,1650,Chiparapet,4285,1,2
253,Bahatnagar,3722,Maparakota,1403,0,1
254,Kakudihat,2260,Chiporepura,4500,1,2
255,Kaporetola,2600,Chinagarti,3898,0,1
256,Bapetpalli,3088,Vihallikota,4968,1,1
257,Chipallivali,4411,Bahatjhar,3749,1,0
258,Chigiriwadi,4383,Chidihgadh,4767,0,0
259,Bakotapara,3115,Kakhedavali,2520,0,1
260,Chikhedapura,4438,Chipalligadh,4426,0,1
261,Viabadnagar,4900,Radihgarh,902,0,2
262,Baabadpore,2998,Mamalawadi,1717,0,1
263,Chipurawadi,3980,Vihallinagar,4962,1,0
264,Chipalligiri,4420,Bakudipalli,3212,0,1
265,Mahallipara,1131,Makudihat,1299,1,0
266,Kahatpura,2764,Maabadhat,1082,1,0
267,Ramuripura,284,Ragaonnagar,374,0,0
268,Bapuramuri,3017,Mahalliwadi,1128,0,2
269,Basarigarh,3351,Bagiripur,3411,0,0
270,Chiabadpara,3952,Makotavali,1187,1,1
271,Kanagargaon,1966,Kajharmuri,2800,0,0
272,Kaabadjhar,2044,Makudipara,1286,0,0
273,Kathanaguda,2444,Magadhbasti,1705,1,0
274,Rapetjhar,215,Kakotapore,2161,1,1
275,Makhedamala,1575,Mabastidih,1921,0,0
276,Bapallipore,3463,Ragadhkudi,724,0,2
277,Kanagarpara,1968,Chitiluru,4547,1,0
278,Rakotagaon,230,Rathanadih,526,0,0
279,Raparapore,456,Baparati,3340,1,2
280,Bagirisari,3426,Bahalliluru,3059,1,2
281,Bajharjhar,3780,Rahalligadh,179,0,1
282,Rahatpur,838,Vihallithana,4977,0,0
283,Baparathana,3334,Kahatgiri,2777,0,1
284,Bavalipara,3146,Raluruhat,648,1,1
285,Chikotatola,4088,Rawadibari,355,1,0
286,Ravalimala,273,Magirigiri,1506,0,0
287,Kagiripet,2456,Chipurpura,3849,0,0
288,Radihkheda,919,Vipuraluru,4950,1,0
289,Bahallinagar,3040,Ranagarabad,35,1,0
290,Bavalijhar,3160,Mapurti,984,0,0
291,Maparapura,1400,Makudiabad,1275,0,0
292,Maabadti,1077,Mahallikudi,1127,1,0
293,Ragirigaon,540,Kaparathana,2373,1,2
294,Kakudibari,2246,Maluruhat,1609,0,1
295,Mapallipura,1524,Ragaonpara,387,1,1
296,Bapallikheda,3461,Makudipara,1286,1,2
297,Makhedaluru,1571,Chikhedanagar,4435,1,1
298,Mawadipara,1317,Kajharhat,2818,0,0
299,Chiwadithana,4202,Kahallipara,2092,1,2
300,Kapurajhar,2075,Kaabadwadi,2027,1,0
301,Kamalasari,2682,Vipethalli,4997,1,1
302,Rakudipalli,329,Baporepalli,3553,0,0
303,Kamalanagar,2668,Magaonvali,1342,0,0
304,Kakotawadi,2151,Mapetpore,1169,0,0
305,Bakhedanagar,3474,Chihallihalli,4005,0,1
306,Magadhgarh,1677,Mavalithana,1226,0,0
307,Kakotapore,2161,Chimurikota,4131,1,0
308,Chiabadguda,3963,Katolapore,2750,0,1
309,Baabadpara,2991,Chigudapalli,4638,0,0
310,Ragaonkota,380,Mawadinagar,1304,0,0
311,Bapallithana,3458,Bamuribasti,3193,0,0
312,Chigadhjhar,4586,Bamalaabad,3631,1,2
313,Rakotaguda,243,Chijhardih,4742,1,0
314,Raabadpara,108,Kabarigaon,2338,1,2
315,Kapalliabad,2484,Ratigiri,700,1,2
316,Ramuripara,294,Bahallibasti,3069,1,2
317,Chipallipur,4403,Bapurkudi,2894,1,1
318,Kamalaabad,2670,Bagadhgaon,3609,1,0
319,Kagaonti,2317,Matipur,1644,1,1
320,Chihallibari,4013,Kahattola,2786,0,2
321,Baabadhat,3004,Rapurgaon,13,1,0
322,Kajharkota,2798,Mahalliwadi,1128,0,1
323,Mamalapura,1710,Rapuradih,154,0,1
324,Chigaondih,4246,Bapallimala,3466,0,2
325,Kalurugiri,2560,Magarhthana,1040,0,1
326,Rabariti,426,Bahallinagar,3040,0,2
327,Chithanakheda,4360,Bagirigarh,3413,0,1
328,Ragiriti,550,Bapallipara,3456,0,0
329,Babastithana,3830,Rakudipara,325,0,1
330,Makotaabad,1182,Ranagarti,54,0,0
331,Masariwadi,1438,Chikhedaluru,4454,1,1
332,Rapallisari,574,Kagiripur,2450,1,2
333,Magirikudi,1499,Kakuditola,2259,0,1
334,Chipetpet,4037,Kagudabasti,2728,0,1
335,Magadhkheda,1694,Kapurnagar,1924,0,2
336,Radihsari,915,Chitolati,4673,1,0
337,Basaridih,3378,Rakuditola,337,1,2
338,Kawadikudi,2274,Bakudigaon,3206,1,0
339,Managargaon,1005,Maabadthana,1071,1,1
340,Rapurnagar,2,Bajharti,3774,1,2
341,Bawadiluru,3245,Kaparavali,2365,1,1
342,Kajhardih,2820,Chinagarkudi,3886,1,1
343,Chikotakheda,4081,Vihallipara,4975,0,2
344,Chilurupore,4486,Kabastigiri,2870,1,2
345,Kaabadti,2038,Vigarhtola,4894,1,0
346,Bapurakudi,3018,Kagaongaon,2307,1,2
347,Ragirikudi,538,Managargarh,995,1,2
348,Makhedati,1573,Raparathana,451,0,0
349,Rawadiluru,362,Chivaliluru,4113,0,2
350,Rahatdih,867,Chigadhhat,4585,1,0
351,Kamalagarh,2669,Baabadpet,2983,0,1
352,Bakotapura,3105,Batolagarh,3692,1,1
353,Madihbasti,1891,Rabastiluru,951,1,1
354,Makudipalli,1290,Kalurubasti,2573,0,2
355,Ragiripur,528,Kaabadpur,2016,1,0
356,Rabarivali,412,Magaonthana,1350,0,2
357,Chimurikheda,4143,Chitiluru,4547,0,1
358,Raparagaon,447,Rakudiguda,336,1,0
359,Matolahalli,1773,Babaridih,3316,1,0
360,Bawadiguda,3250,Maporebari,1626,1,2
361,Badihkudi,3793,Chitolabari,4664,0,2
362,Rathanajhar,525,Rathanabasti,527,0,2
363,Chivalidih,4122,Chimurigiri,4141,1,2
364,Kaporekudi,2584,Chipalligiri,4420,0,1
365,Chigaongarh,4219,Rabastinagar,932,0,0
366,Bapurapura,3012,Bagaongiri,3273,1,2
367,Chibastiluru,4795,Rawadipalli,360,0,0
368,Mapurbari,975,Katipura,2609,1,0
369,Chihalliwadi,4011,Malurujhar,1610,0,1
370,Baparamala,3342,Magadhpalli,1693,0,1
371,Kagadhhalli,2641,Majharthana,1846,0,0
372,Ragudakota,783,Mabarigadh,1388,0,0
373,Basaripur,3349,Rapurmuri,10,1,1
374,Mapetpalli,1166,Rajharluru,889,1,0
375,Batolavali,3698,Ragirigadh,551,0,1
376,Kathanadih,2448,Rabariluru,424,1,1
377,Makudipur,1272,Magadhthana,1691,1,0
378,Chipuragadh,3992,Babaritola,3313,0,1
379,Kaparagadh,2380,Basarimala,3373,0,0
380,Bakudithana,3210,Babariguda,3312,1,1
381,Bapetbari,3083,Raabadgarh,96,1,0
382,Vinagarpore,4858,Chivalimala,4117,0,1
383,Raporegarh,654,Magirisari,1504,1,0
384,Mapallihat,1547,Kakotapet,2146,1,1
385,Kahallimala,2102,Ragadhpalli,732,0,0
386,Kakudipalli,2251,Baparabari,3331,0,1
387,Chiabadhat,3965,Mamalamuri,1715,0,0
388,Radihkudi,910,Mapallipura,1524,0,2
389,Ralurupalli,639,Chinagarbari,3889,0,0
390,Kabaribari,2339,Ravalipara,263,1,0
391,Bakotagaon,3113,Mathanavali,1466,1,1
392,Rathanasari,512,Kakhedamuri,2521,1,2
393,Chikhedatola,4460,Chihalliwadi,4011,0,2
394,Batiabad,3569,Chidihpalli,4762,0,2
395,Chimalapet,4595,Baabadsari,2992,0,0
396,Bamurigadh,3186,Chiparagarh,4281,1,1
397,Managarpet,999,Chipurgaon,3857,0,2
398,Bapetbari,3083,Rasaripura,470,0,1
399,Kagirikheda,2469,Chidihwadi,4755,0,0
400,Baluruabad,3507,Baluruguda,3529,1,2
401,Bakotabari,3114,Rathanabasti,527,1,2
402,Makudiwadi,1283,Kapetpet,2115,0,0
403,Matipore,1665,Bagudadih,3688,0,1
404,Babaribari,3300,Rathanakudi,507,0,1
405,Mabastihat,1919,Kawadibari,2277,0,0
406,Magarhgarh,1026,Chikhedaguda,4459,0,2
407,Mapetgaon,1160,Rapetpet,193,0,2
408,Kaparapet,2363,Mahatpore,1820,0,2
409,Chiparajhar,4307,Kapallikudi,2491,1,0
410,Kathanamuri,2428,Bamaladih,3657,0,0
411,Makotahat,1206,Ravalipore,270,0,2
412,Kabarigaon,2338,Chimalabari,4602,0,1
413,Baparaguda,3343,Chikhedaguda,4459,1,0
414,Kakhedaluru,2532,Matolakota,1775,0,0
415,Kamuriti,2224,Kakudigaon,2245,1,2
416,Rakhedakudi,600,Matolakheda,1787,0,2
417,Bahatgiri,3738,Chisarigadh,4333,1,1
418,Chitiluru,4547,Bapurkota,2891,1,1
419,Mapurathana,1102,Rahallihat,183,1,1
420,Chilurupet,4471,Chigadhthana,4574,0,1
421,Chipallimala,4427,Kawadikheda,2283,1,0
422,Kadihpura,2826,Kathanapet,2425,0,0
423,Mamurikudi,1251,Balurubari,3517,0,2
424,Raporepet,658,Matolapur,1768,1,0
425,Mavalivali,1218,Kagarhmuri,1994,0,2
426,Ragaonwadi,384,Rakotakudi,228,0,2
427,Kasarikheda,2407,Chiwadikheda,4205,0,2
428,Raabadpalli,112,Chimurihalli,4129,1,0
429,Kapalligiri,2498,Rapuratola,151,1,1
430,Mamalawadi,1717,Bavalipalli,3150,1,2
431,Makudikota,1279,Magaonhat,1361,0,1
432,Chipallipore,4424,Chikotajhar,4090,1,0
433,Kativali,2613,Kajharhalli,2796,1,1
434,Vipurabasti,4960,Rapursari,16,0,2
435,Bagarhpore,2967,Raporepalli,670,1,1
436,Kabarigaon,2338,Rathanagaon,509,1,1
437,Ranagarmala,56,Kagarhti,2007,1,0
438,Kahatti,2782,Madihjhar,1889,0,1
439,Magarhtola,1050,Magudaguda,1762,1,0
440,Rahallibari,169,Rapurapur,125,0,0
441,Rapetwadi,198,Vipurpara,4820,0,1
442,Chiporeabad,4499,Kapetkheda,2128,0,0
443,Babastijhar,3842,Rawadijhar,370,0,2
444,Chipetpara,4045,Chihatkudi,4692,1,0
445,Ranagarpore,53,Kagaonjhar,2323,1,2
446,Mavalidih,1239,Chinagardih,3905,0,1
447,Mamuripara,1255,Bamurikota,3170,1,0
448,Mapuradih,1115,Kaabadtola,2042,0,0
449,Bamuripur,3163,Matolagaon,1780,1,0
450,Badihabad,3786,Masarigadh,1450,0,2
451,Rakudinagar,312,Bakhedapara,3487,1,1
452,Kapurpura,1927,Bahallinagar,3040,1,2
453,Maparamala,1420,Chiparabari,4292,1,1
454,Bahallikheda,3058,Bakotathana,3117,0,0
455,Kaporeabad,2577,Chibarikheda,4267,0,0
456,Kagaonhat,2322,Rapallimala,583,0,2
457,Makudikheda,1291,Rawadikudi,352,0,2
458,Baabadkudi,2987,Kaluruguda,2568,1,1
459,Rabariabad,407,Babastimuri,3823,0,2
460,Chitithana,4543,Vihalliwadi,4972,0,1
461,Bagudaabad,3662,Makudisari,1287,0,2
462,Madihgaon,1873,Chipallithana,4419,0,2
463,Ragadhgarh,716,Chigarhkota,3914,1,1
464,Kapurmuri,1932,Rajharguda,894,1,2
465,Rapalligiri,576,Rapurmala,25,1,0
466,Magirikheda,1508,Badihsari,3798,1,1
467,Mawadipore,1324,Kabastiabad,2856,0,1
468,Mahallibari,1130,Bakhedasari,3488,0,0
469,Chibastinagar,4776,Magaonpalli,1352,1,2
470,Vipetpur,4992,Chitivali,4535,1,0
471,Balurupara,3518,Ravalijhar,277,0,0
472,Bakhedabasti,3503,Rapurpura,5,0,2
473,Magiripura,1493,Bapuradih,3037,0,0
474,Mawadikudi,1313,Chigaonmala,4241,1,1
475,Chikudidih,4184,Babaribari,3300,0,0
476,Kavalihalli,2176,Mavalipet,1216,1,1
477,Bagarhdih,2975,Bagaonnagar,3257,0,2
478,Chiwadikudi,4196,Badihpura,3787,1,0
479,Vipurjhar,4834,Vinagarpura,4841,0,2
480,Maabadpalli,1073,Rakudivali,319,1,2
481,Ragirigiri,545,Kapetpalli,2127,1,0
482,Kavalipet,2177,Makhedatola,1577,0,0
483,Vinagarpura,4841,Ragiripore,549,0,2
484,Maabadluru,1075,Rabastimuri,940,1,0
485,Mahallipet,1123,Vigarhgiri,4885,0,0
486,Ragaonvali,381,Vihalligadh,4984,1,1
487,Bapurbari,2897,Chipurawadi,3980,0,2
488,Rabastigadh,954,Kamuriwadi,2213,1,2
489,Chikudipet,4161,Bapetgaon,3082,1,2
490,Raporejhar,680,Bawadigarh,3227,0,1
491,Bahallijhar,3067,Chimurimala,4148,0,1
492,Ratihalli,688,Mamalakota,1713,1,0
493,Chipurabari,3982,Kagaonbari,2308,1,1
494,Ramuribari,293,Bagaonkheda,3275,1,0
495,Ragadhluru,734,Baparapalli,3336,0,1
496,Mahatabad,1802,Makudipura,1276,0,2
497,Babarisari,3302,Kakhedapalli,2530,0,2
498,Basarigarh,3351,Vigarhguda,4893,0,2
499,Bagaonpalli,3274,Kakotadih,2169,1,0
500,Kagadhwadi,2647,Ramalapura,749,1,2
501,Basarigiri,3366,Magaonwadi,1345,0,1
502,Basariwadi,3360,Katolabari,2742,0,2
503,Bagaonabad,3259,Magadhgadh,1698,1,0
504,Ratolagarh,809,Chigaonjhar,4245,0,2
505,Mabastitola,1918,Vihallipalli,4979,1,1
506,Chigudapalli,4638,Rabastigiri,948,0,2
507,Kakudidih,2262,Kakudinagar,2234,1,0
508,Bathanaguda,3405,Chinagarjhar,3904,1,0
509,Baabadguda,3002,Bamuripalli,3181,0,1
510,Chikudihalli,4160,Kamuriti,2224,1,0
511,Chiluruluru,4485,Chidihabad,4747,0,2
512,Kapetgadh,2132,Kasarinagar,2389,1,1
513,Batikudi,3576,Radihdih,929,0,2
514,Ragudagarh,778,Bamuripura,3167,0,1
515,Bagadhsari,3612,Kapurmuri,1932,1,1
516,Majharkota,1837,Bagadhguda,3622,1,1
517,Batolapet,3696,Chiparakudi,4289,0,1
518,Chipuragarh,3971,Chidihti,4766,0,2
519,Kadihpura,2826,Bagadhkudi,3607,1,1
520,Bamurinagar,3164,Mahatgadh,1822,1,0
521,Ragudamuri,785,Bagadhbari,3610,1,0
522,Katolagadh,2752,Vipurkudi,4816,0,2
523,Maabadpalli,1073,Kapuragaon,2059,0,1
524,Mabaribari,1378,Kadihbari,2835,0,1
525,Chigarhhalli,3912,Bamuripore,3184,1,1
526,Batolabasti,3720,Ragaonluru,393,1,2
